train_CrossEntropy(label),train_acc(label),eval_CrossEntropy(label),eval_acc(label)
1.487011252271102,0.3267790262172285,1.3322099524124658,0.4069028156221617
1.173105229599199,0.48829588014981273,1.1918484048340994,0.4786557674841054
1.0426274859503415,0.556999063670412,1.1483799722603947,0.4895549500454133
0.9415715263130959,0.6070926966292135,1.193539293487975,0.48864668483197093
0.881662683763754,0.6316713483146067,1.20448841970688,0.5004541326067211
0.8232968947414155,0.6684222846441947,1.2428977524119005,0.485921889191644
0.7755130047208807,0.6908941947565543,1.2751026068028268,0.4877384196185286
0.7456792847494061,0.7066947565543071,1.2892691461093635,0.49591280653950953
0.7111343882057104,0.7208567415730337,1.2900767978162357,0.49318801089918257
0.7035888008187327,0.7255383895131086,1.301760150777763,0.4913714804722979
